week,G pts,G opp,C pts,C opp,D pts,D opp,T pts,T opp,M pts,M opp,J pts,J opp,A pts,A opp,X pts,X opp
1,138.5,D,135.2,T,75.5,G,103.4,C,116,X,134.8,A,137.6,J,127.6,M
2,103.4,M,127.2,J,69.2,X,133.1,A,114.9,G,91.9,C,128.2,T,90.2,D
3,152.3,X,141.6,A,107.3,M,141,J,94.1,D,130.2,T,144,C,105,G
4,122.3,A,116.7,X,89.6,J,121.7,M,109.6,T,117.2,D,124.5,G,76.7,C
5,185.7,C,136.9,G,107.8,A,104.2,X,85.8,J,157.9,M,102.8,D,123.4,T
6,120.8,T,99.1,D,108.5,C,113.8,G,98.1,A,162.5,X,121.3,M,78.7,J
7,,J,,M,,T,,D,,C,,G,,X,,A
8,,D,,T,,G,,C,,X,,A,,J,,M
9,,M,,J,,X,,A,,G,,C,,T,,D
10,,X,,A,,M,,J,,D,,T,,C,,G
11,,A,,X,,J,,M,,T,,D,,G,,C
12,,C,,G,,A,,X,,J,,M,,D,,T
13,,T,,D,,C,,G,,A,,X,,M,,J
14,,J,,M,,T,,D,,C,,G,,X,,A
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
